,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,caption_1,caption_2,caption_3,caption_4,caption_5
0,-54.443726,81.97872,-96.04085,10.3362665,-35.969597,-5.3128405,-25.769093,0.17054002,-22.76153,8.177826,-23.485909,3.5149336,-15.803507,A muddled noise of broken channel of the TV,A television blares the rhythm of a static TV.,Loud television static dips in and out of focus,The loud buzz of static constantly changes pitch and volume.,heavy static and the beginnings of a signal on a transistor radio
1,-280.1804,71.31275,-51.074318,4.705517,-14.738633,9.486282,-13.469919,6.3796763,-13.844692,6.72891,-17.188055,0.7780805,-17.14811,A person is turning a map over and over.,A person is very carefully rapping a gift for someone else.,A person is very carefully wrapping a gift for someone else.,"He sighed as he turned the pages of the book, stopping to scan the information.","papers are being turned, stopped, then turned again and someone is breathing."
2,-295.54193,103.67879,-11.762428,18.097662,-12.6735525,-15.084613,-0.4882929,-8.294992,3.4328282,2.6872437,1.0732707,0.29550186,-4.2023463,Several barnyard animals mooing in a barn while it rains outside.,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.","Underwater, large numbers of shrimp clicking and several whales vocalizing.",Whales sing to one another over the flowing water in the distance.,wales sing to one another with water flowing in the background
3,-426.20993,-22.414814,-26.357801,-15.836894,-43.98591,-10.1898775,-25.784437,3.3695776,-10.52073,3.9322016,-10.807287,-5.243131,-21.331423,An office chair is squeaking as someone bends back and forth in it.,Popping and squeaking gradually tapers off to a low level.,Someone is opening a creaky door slowly while a dog barks in the background,Squeaking and popping followed by gradual popping and tapering off.,an office chair is squeaking as someone leans forward and backward in it
4,-112.23432,62.708412,8.299957,22.350843,-13.337205,25.561638,-9.7038765,16.962753,-21.783047,15.357363,-11.846433,17.905457,-15.964543,A flying bee is buzzing loudly around an object and its wing hits it.,An annoying fly is buzzing loudly and consistently.,An insect buzzing in the foreground as birds chirp in the background.,"An insect trapped in a spider web struggles, breaks free and flies away.","Outdoors, insect trapped in a spider web and then breaks loose and flies away."
5,-259.67493,153.10994,-24.727346,41.78514,7.8041825,-21.284788,-7.0072484,-8.747672,-13.662439,-9.442697,-9.873205,-12.033048,-18.217121,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,A low stringed instrument drones a steady tone and is eventually joined by violins.,A large stringed instrument and a pair of violins are playing.,A musical instrument creates a tune and is followed by other instruments.,An orchestra practicing for an upcoming concert in an enclosed room.
6,-80.22377,88.48229,-16.485043,11.500298,-15.565022,26.433067,-6.488832,10.6523075,-10.471415,11.27538,-10.867099,5.303493,-9.228967,"As thunder claps far in the distance, the rain pours down.",Rain pours down and thunder claps far in the distance.,Substantial rain and wind are pouring and spouting around and thunder is available.,The rain falls down the thunder is rumbling as someone is pounding and a car passes.,"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling"
7,-95.02425,79.90147,-40.639603,10.883623,-29.960556,15.33294,-18.1986,7.188533,-24.202787,2.690181,-9.518934,9.060433,-9.526565,Something goes round that is playing its song.,"At the fair, music is playing near a carousel through the speaker.","Chiming of bells, whistles and horns at a performance.",Fair kind music is being played at the circus grounds.,Polka or fair kind of music is being played.
8,-262.9017,85.98961,-28.384737,13.083013,-10.746351,21.631985,5.247046,10.362684,-4.759648,7.3657837,6.0508327,14.945285,-3.521743,A paper printer is printing off multiple pages.,A printer printing off multiple pages of paper,A small printing device performing duties and printing pages of text.,A tiny printer performs its duties and prints the words.,An automatic cutter feeds paper and cuts it.
9,-175.68507,167.4902,-47.918453,22.346323,-23.4017,4.355175,-23.364517,3.4116998,-7.855228,-20.742916,2.1178365,1.4534417,-23.83758,"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.","A horn beeps for an amusement park ride, air brakes release and the ride takes off.","A warning button sounds, then a vehicle goes at a high speed.","After a horn beeps for an amusement park ride, the air brakes release and the ride begins.","First comes a beeping sound, then a door closing, then the train starts to speed up."
